"descr","NumRaw","NumSet","NumCnf","NumIssued","NumSat","NumSold","NumNetSold","GSA","NSA","MCost","WorkingAmount","EmpName","SDate","EDate","FullName","xbrn_id","xsrc_id","xsrs_id","xSortBy","CurrentDateTime","UseColor"
"Google PPC Roofs","11","5","5","5","4","0","0","0.0000","0.0000","0.0000","0.0000","dwhitfield","2/1/2026","2/28/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:26 PM","True"
"GeoTarget","1","1","1","0","0","0","0","0.0000","0.0000","0.0000","0.0000","dwhitfield","2/1/2026","2/28/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:26 PM","True"
"HomeBuddy","13","2","2","1","1","0","0","0.0000","0.0000","0.0000","0.0000","dwhitfield","2/1/2026","2/28/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:26 PM","True"
"BlueFireLeads","57","3","1","1","1","0","0","0.0000","0.0000","0.0000","0.0000","dwhitfield","2/1/2026","2/28/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:26 PM","True"
"USA Today-DirectMail","1","1","1","1","1","0","0","0.0000","0.0000","0.0000","0.0000","dwhitfield","2/1/2026","2/28/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:26 PM","True"
"","12","0","0","0","0","0","0","0.0000","0.0000","0.0000","0.0000","dwhitfield","2/1/2026","2/28/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:26 PM","True"
"","50","0","0","0","0","0","0","0.0000","0.0000","0.0000","0.0000","dwhitfield","2/1/2026","2/28/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:26 PM","True"
"YouTube Organic","1","1","1","1","1","0","0","0.0000","0.0000","0.0000","0.0000","dwhitfield","2/1/2026","2/28/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:26 PM","True"
"Best Pick","11","7","6","6","4","0","0","0.0000","30655","0.0000","0.0000","dwhitfield","2/1/2026","2/28/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:26 PM","True"
"Billboard","2","0","0","0","0","0","0","0.0000","14639","0.0000","0.0000","dwhitfield","2/1/2026","2/28/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:26 PM","True"
"","4","0","0","0","0","0","0","0.0000","0.0000","0.0000","0.0000","dwhitfield","2/1/2026","2/28/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:26 PM","True"
"Bing Organic","3","2","2","2","2","0","0","0.0000","0.0000","0.0000","0.0000","dwhitfield","2/1/2026","2/28/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:26 PM","True"
"Clever","4","0","0","0","0","0","0","0.0000","0.0000","0.0000","0.0000","dwhitfield","2/1/2026","2/28/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:26 PM","True"
"TV","1","0","0","0","0","0","0","0.0000","0.0000","0.0000","0.0000","dwhitfield","2/1/2026","2/28/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:26 PM","True"
"Mail","3","0","0","0","0","0","0","0.0000","0.0000","0.0000","0.0000","dwhitfield","2/1/2026","2/28/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:26 PM","True"
"Newspaper","1","0","0","0","0","0","0","0.0000","0.0000","0.0000","0.0000","dwhitfield","2/1/2026","2/28/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:26 PM","True"
"Flyer on Door","9","0","0","0","0","0","0","0.0000","0.0000","0.0000","0.0000","dwhitfield","2/1/2026","2/28/2026","Dana Whitfield","ALL","ALL","ALL","By Gross Sales","8/7/2026 3:15:26 PM","True"
